"ASI1";"ASI2";"ASI3";"ASI4";"ASI5";"ASI6";"ASI7";"ASI8";"ASI9";"ASI10";"ASI11";"ASI12";"ASI13";"ASI14";"ASI15";"ASI16";"ASI17";"ASI18";"ASI19";"ASI20";"ASI21";"ASI22";"ASI";"HS";"BS"
4;4;2;2;3;5;4;3;3;3;4;4;1;4;3;3;3;3;4;2;3;3;70;36;34
1;4;1;3;1;1;1;1;3;3;3;1;1;3;3;3;1;4;1;1;1;1;42;29;13
1;3;3;3;4;4;1;1;2;1;2;1;1;3;1;2;1;3;1;1;1;4;44;24;20
1;3;2;2;2;5;1;1;5;2;2;2;1;1;1;2;3;4;1;1;1;2;45;21;24
1;3;2;4;3;5;1;1;4;3;1;1;1;3;1;4;3;3;1;1;3;1;50;29;21
3;2;3;4;4;4;2;3;5;3;2;4;3;2;1;2;4;2;3;5;2;3;66;26;40
1;3;1;1;1;5;1;1;3;1;1;1;1;1;1;1;1;2;1;3;1;1;33;14;19
1;2;3;1;3;5;3;1;1;1;3;1;1;1;1;4;1;3;3;1;1;1;42;23;19
1;3;4;2;2;4;3;5;5;1;1;3;1;3;1;3;1;3;2;1;3;1;53;25;28
1;5;3;5;5;4;5;1;5;4;5;2;2;5;4;5;5;1;3;1;5;3;79;49;30
1;2;2;5;3;5;5;1;4;2;3;3;1;2;1;1;3;2;3;1;2;3;55;28;27
1;1;1;3;3;4;5;1;1;3;5;1;1;3;3;3;1;3;1;1;3;1;49;35;14
3;4;2;5;4;3;5;3;3;3;4;3;3;4;3;4;2;4;2;2;3;3;72;43;29
5;4;4;3;3;3;5;2;3;2;2;5;4;3;1;3;3;3;3;3;3;3;70;32;38
1;4;5;4;2;4;5;1;4;1;4;2;1;1;1;1;1;1;1;1;4;1;50;28;22
1;3;5;5;2;5;4;1;5;4;4;1;1;1;1;2;1;4;1;1;3;1;56;33;23
4;3;3;4;3;2;4;4;5;1;3;5;2;3;1;1;1;1;1;1;1;3;56;25;31
1;4;3;2;3;2;3;2;2;2;2;1;1;2;1;2;2;3;2;1;2;1;44;26;18
1;1;3;2;3;5;1;1;1;3;1;1;1;1;1;3;3;4;3;1;1;1;42;21;21
1;3;1;3;1;1;1;1;1;1;3;1;1;1;1;1;1;3;1;1;1;1;30;19;11
1;3;1;4;3;5;3;1;3;2;3;1;1;2;3;4;1;3;1;1;3;3;52;33;19
2;3;3;4;4;4;1;3;3;3;3;3;1;3;3;3;3;2;3;3;3;3;63;32;31
5;4;3;4;4;2;1;3;4;2;3;5;2;3;2;3;3;2;4;1;1;4;65;29;36
1;5;1;5;4;5;4;3;5;3;1;1;1;2;1;4;1;4;1;1;1;1;55;34;21
3;1;4;4;1;4;1;2;3;3;3;1;3;1;1;1;4;3;1;1;1;1;47;20;27
3;3;1;2;3;5;3;1;3;1;1;1;1;1;1;1;1;3;1;1;3;1;41;22;19
1;1;2;2;1;5;3;4;4;2;1;1;1;3;1;4;1;1;1;1;5;1;46;24;22
1;4;1;4;4;5;1;1;1;1;1;1;1;1;1;1;1;4;1;1;3;1;40;25;15
1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;3;3;1;3;1;32;15;17
4;3;3;2;5;2;1;4;5;2;1;5;5;1;1;1;3;2;4;1;1;5;61;20;41
1;1;1;1;2;5;1;2;1;1;1;1;1;2;1;2;2;2;2;1;1;1;33;15;18
4;3;2;3;4;2;5;4;5;4;4;5;5;4;2;1;1;1;3;1;1;3;67;32;35
2;5;4;3;3;5;4;3;5;2;2;3;2;3;1;2;2;3;2;2;3;1;62;31;31
1;4;1;5;4;5;4;1;4;4;2;2;1;4;1;4;1;4;1;1;4;1;59;40;19
4;5;4;5;4;5;5;4;5;5;5;5;1;2;1;5;3;5;3;5;4;3;88;46;42
2;4;5;4;3;4;5;5;3;3;3;3;4;3;2;5;3;3;5;5;5;5;84;40;44
3;4;3;4;4;4;3;3;4;3;4;5;3;3;3;3;1;3;3;3;4;3;73;38;35
4;4;3;3;4;5;5;5;5;5;4;3;4;3;1;3;3;3;2;1;2;4;76;37;39
2;4;4;4;3;4;4;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;43;23;20
1;3;3;2;2;5;1;1;4;1;1;4;1;1;3;1;3;1;1;1;1;1;42;17;25
1;3;3;3;3;1;1;3;3;3;3;3;1;3;3;1;1;3;3;1;4;1;51;30;21
1;3;3;2;1;5;2;1;3;1;2;1;1;2;2;1;1;2;1;1;1;3;40;19;21
1;3;2;2;1;1;1;1;4;3;1;1;1;1;1;1;1;1;4;1;1;4;37;16;21
1;4;1;4;1;5;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;35;19;16
1;3;1;2;3;5;2;1;1;1;1;1;1;4;1;3;1;1;1;1;1;1;37;22;15
2;4;4;2;2;3;2;2;4;2;3;3;2;2;1;2;1;3;2;2;3;4;55;26;29
1;1;2;1;1;5;1;1;5;2;2;1;1;1;1;1;1;1;1;3;1;1;35;13;22
1;4;2;5;4;5;5;2;3;4;4;2;1;3;2;4;1;4;3;2;5;4;70;44;26
1;3;3;3;1;1;4;3;5;2;2;5;1;2;1;1;2;3;2;2;2;4;53;24;29
1;3;1;2;2;5;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;32;16;16
2;4;3;4;4;4;4;2;2;3;3;4;3;3;3;3;3;4;3;3;3;3;70;38;32
1;3;2;3;2;5;2;1;1;1;3;1;1;1;1;1;1;3;4;1;1;1;40;21;19
2;3;3;4;2;5;2;2;4;2;2;2;1;2;1;1;1;3;1;1;2;4;50;24;26
3;4;2;3;3;5;4;3;4;3;3;2;1;1;1;2;1;2;3;1;1;3;55;27;28
1;1;1;1;1;5;1;4;1;1;1;1;1;1;1;3;1;1;1;1;1;4;34;13;21
2;4;1;2;1;3;4;3;4;1;1;3;2;1;1;4;1;3;3;1;3;4;52;25;27
1;5;3;5;4;3;1;1;1;1;1;1;1;3;3;4;1;5;1;1;1;1;48;33;15
1;1;5;1;1;5;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;33;11;22
3;2;3;2;1;3;3;1;2;3;2;1;3;1;3;2;1;3;2;3;1;3;48;23;25
1;1;4;1;3;5;3;1;4;2;3;2;2;1;1;1;2;2;1;1;1;4;46;19;27
2;3;2;3;1;2;5;1;3;1;2;1;1;1;1;1;1;1;1;1;1;2;37;20;17
3;4;4;2;2;4;1;1;3;3;1;3;3;2;1;1;1;1;3;3;1;3;50;19;31
1;4;5;4;3;5;4;2;4;2;3;2;1;2;1;3;3;4;3;1;3;4;64;33;31
3;3;3;4;4;5;5;2;3;3;4;3;3;1;2;4;1;2;1;1;3;2;62;35;27
3;5;4;4;3;2;3;3;5;2;4;3;3;3;3;4;4;3;3;3;3;4;74;37;37
1;4;1;2;3;2;3;1;3;3;3;1;1;3;3;3;1;3;1;1;3;1;47;33;14
2;2;2;1;2;2;1;2;3;2;2;2;1;2;1;2;1;1;1;2;2;1;37;18;19
3;3;3;3;2;3;2;3;3;2;3;2;3;2;3;3;1;1;1;3;3;2;54;27;27
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;66;33;33
4;4;2;4;5;3;5;4;1;3;3;1;1;2;2;1;5;5;3;1;4;5;68;38;30
1;3;3;1;1;5;2;3;3;2;4;1;1;2;2;1;1;3;2;2;2;2;47;23;24
1;3;5;3;3;3;5;3;1;3;3;3;3;1;3;3;4;1;3;1;3;3;61;31;30
2;2;1;3;2;5;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;33;15;18
4;4;3;4;4;3;3;3;4;2;1;4;4;4;2;1;4;4;3;3;1;4;69;30;39
3;3;3;4;4;4;4;2;4;2;2;4;3;3;3;2;5;4;2;2;2;2;67;33;34
5;5;1;4;3;4;3;3;3;4;4;3;4;1;2;2;1;2;2;1;3;3;63;33;30
1;5;5;1;1;5;1;4;1;1;1;1;1;1;1;1;1;1;5;1;1;2;42;15;27
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;22;11;11
5;5;4;4;3;4;5;4;5;4;4;3;4;4;4;4;4;4;4;4;4;4;90;45;45
